127.0.0.1 - - [09/Sep/2017:13:48:05 +0800] GET / HTTP/1.1 200 11256
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /tomcat.css HTTP/1.1 200 5581
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /tomcat.png HTTP/1.1 200 5103
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /bg-nav.png HTTP/1.1 200 1401
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /asf-logo-wide.svg HTTP/1.1 200 26447
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /bg-button.png HTTP/1.1 200 713
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /bg-middle.png HTTP/1.1 200 1918
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /bg-upper.png HTTP/1.1 200 3103
127.0.0.1 - - [09/Sep/2017:13:48:09 +0800] GET /favicon.ico HTTP/1.1 200 21630
127.0.0.1 - - [09/Sep/2017:13:48:54 +0800] GET /examples/ HTTP/1.1 200 1126
127.0.0.1 - - [09/Sep/2017:13:48:57 +0800] GET /examples/websocket/index.xhtml HTTP/1.1 200 1268
127.0.0.1 - - [09/Sep/2017:13:48:59 +0800] GET /examples/websocket/chat.xhtml HTTP/1.1 200 4562
127.0.0.1 - - [09/Sep/2017:13:48:59 +0800] GET /examples/websocket/chat HTTP/1.1 101 -
127.0.0.1 - - [09/Sep/2017:13:49:03 +0800] GET /examples/websocket/echo.xhtml HTTP/1.1 200 7064
127.0.0.1 - - [09/Sep/2017:13:53:30 +0800] GET /examples/websocket/index.xhtml HTTP/1.1 304 -
127.0.0.1 - - [09/Sep/2017:14:26:50 +0800] GET /examples/websocket/snake.xhtml HTTP/1.1 200 9371
127.0.0.1 - - [09/Sep/2017:15:53:42 +0800] GET / HTTP/1.1 200 11256
127.0.0.1 - - [09/Sep/2017:15:53:55 +0800] GET /examples/ HTTP/1.1 304 -
127.0.0.1 - - [09/Sep/2017:15:54:06 +0800] GET /examples/ HTTP/1.1 304 -
127.0.0.1 - - [09/Sep/2017:15:55:04 +0800] GET /examples/ HTTP/1.1 304 -
127.0.0.1 - - [09/Sep/2017:15:55:10 +0800] GET /examples/ HTTP/1.1 304 -
127.0.0.1 - - [09/Sep/2017:15:55:52 +0800] GET /examples/jsp HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:15:55:53 +0800] GET /examples/jsp/ HTTP/1.1 200 14326
127.0.0.1 - - [09/Sep/2017:15:55:53 +0800] GET /examples/jsp/images/execute.gif HTTP/1.1 200 1242
127.0.0.1 - - [09/Sep/2017:15:55:54 +0800] GET /examples/jsp/images/return.gif HTTP/1.1 200 1231
127.0.0.1 - - [09/Sep/2017:15:55:54 +0800] GET /examples/jsp/images/code.gif HTTP/1.1 200 292
127.0.0.1 - - [09/Sep/2017:15:56:01 +0800] GET /examples/jsp/ HTTP/1.1 304 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets HTTP/1.1 302 -
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets/ HTTP/1.1 200 6645
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets/images/execute.gif HTTP/1.1 200 1242
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets/images/code.gif HTTP/1.1 200 292
127.0.0.1 - - [09/Sep/2017:16:03:57 +0800] GET /examples/servlets/images/return.gif HTTP/1.1 200 1231
127.0.0.1 - - [09/Sep/2017:16:18:54 +0800] GET /examples/servlets/servlet/SessionExample HTTP/1.1 200 1247
