127.0.0.1 - - [26/Jan/2018:12:07:32 +0800] GET /hr HTTP/1.1 404 1004
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/jndi-datasource-examples-howto.html HTTP/1.1 200 35168
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/docs-stylesheet.css HTTP/1.1 200 5780
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/tomcat.png HTTP/1.1 200 5103
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/asf-logo.svg HTTP/1.1 200 19698
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/fonts/fonts.css HTTP/1.1 200 1943
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/fonts/OpenSans600.woff HTTP/1.1 200 22604
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/fonts/OpenSans400.woff HTTP/1.1 200 21956
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/fonts/OpenSans700.woff HTTP/1.1 200 22748
127.0.0.1 - - [26/Jan/2018:13:00:59 +0800] GET /docs/images/fonts/OpenSans400italic.woff HTTP/1.1 200 21092
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /hr/index HTTP/1.1 404 1016
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /apple-touch-icon-precomposed.png HTTP/1.1 404 1064
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /apple-touch-icon.png HTTP/1.1 404 1040
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /favicon.ico HTTP/1.1 200 21630
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /hr/index HTTP/1.1 404 1016
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /apple-touch-icon-precomposed.png HTTP/1.1 404 1064
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /apple-touch-icon.png HTTP/1.1 404 1040
0:0:0:0:0:0:0:1 - - [26/Jan/2018:14:33:20 +0800] GET /favicon.ico HTTP/1.1 200 21630
