2018-03-01 20:41:15,314 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STOPPING_PREP]
2018-03-01 20:41:15,357 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STOPPING]
2018-03-01 20:41:15,392 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STOPPING_PREP]
2018-03-01 20:41:15,950 |Thread-6             |LifecycleBase                 |F| Stopping service Catalina
2018-03-01 20:41:15,950 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STOPPING]
2018-03-01 20:41:15,953 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [STOPPING_PREP]
2018-03-01 20:41:15,967 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [STOPPING]
2018-03-01 20:41:15,970 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina]]] to [STOPPING_PREP]
2018-03-01 20:41:15,972 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina]]] to [STOPPING]
2018-03-01 20:41:15,975 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardEngineValve[Catalina]] to [STOPPING_PREP]
2018-03-01 20:41:15,975 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardEngineValve[Catalina]] to [STOPPING]
2018-03-01 20:41:15,975 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardEngineValve[Catalina]] to [STOPPED]
2018-03-01 20:41:15,975 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina]]] to [STOPPED]
2018-03-01 20:41:15,989 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [STOPPING_PREP]
2018-03-01 20:41:15,997 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost]] to [STOPPING]
2018-03-01 20:41:15,998 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STOPPING_PREP]
2018-03-01 20:41:15,998 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost]]] to [STOPPING]
2018-03-01 20:41:15,998 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STOPPING_PREP]
2018-03-01 20:41:15,998 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STOPPING]
2018-03-01 20:41:15,999 |Catalina-startStop-2 |LifecycleBase                 |F| Setting state for [org.apache.catalina.valves.AccessLogValve[localhost]] to [STOPPED]
