2018-03-04 10:46:30,912 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[RequestInfoExample]]] to [STOPPING]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[RequestInfoExample]] to [STOPPING_PREP]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[RequestInfoExample]] to [STOPPING]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[RequestInfoExample]] to [STOPPED]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[RequestInfoExample]]] to [STOPPED]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[RequestInfoExample]] to [STOPPED]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[async3]] to [STOPPING_PREP]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[async3]] to [STOPPING]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[async3]]] to [STOPPING_PREP]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [Pipeline[StandardEngine[Catalina].StandardHost[localhost].StandardContext[/examples].StandardWrapper[async3]]] to [STOPPING]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[async3]] to [STOPPING_PREP]
2018-03-04 10:46:30,913 |Thread-6             |LifecycleBase                 |F| Setting state for [org.apache.catalina.core.StandardWrapperValve[async3]] to [STOPPING]
