2018-01-26 12:06:11,871 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STOPPING_PREP]
2018-01-26 12:06:11,873 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STOPPING]
2018-01-26 12:06:11,885 |Thread-6             |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [STOPPING_PREP]
2018-01-26 12:06:12,799 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [STARTING]
2018-01-26 12:06:12,799 |ocalhost-startStop-2 |LifecycleBase                 |F| Setting state for [Realm[JDBCRealm]] to [STARTED]
2018-01-26 12:06:12,799 |ocalhost-startStop-2 |ContextConfig                 |F| ContextConfig: Processing START
2018-01-26 12:06:12,799 |ocalhost-startStop-2 |ContextConfig                 |F| Context [/test] will parse web.xml and web-fragment.xml files with validation:false and namespaceAware:false
2018-01-26 12:06:12,802 |ocalhost-startStop-2 |WebXmlParser                  |F| Parsing application web.xml file at file:/project/tomcat-pro/web/WEB-INF/web.xml
2018-01-26 12:06:12,805 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning /WEB-INF/lib for JARs
2018-01-26 12:06:12,807 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jackson-databind-2.6.4.jar] from /WEB-INF/lib
2018-01-26 12:06:12,807 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-aspects-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,807 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/fastjson-1.2.7.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/pagehelper-5.1.2.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-webmvc-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jsqlparser-1.1.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-test-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/xercesImpl-2.11.0.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/aopalliance-1.0.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-security-core-4.0.3.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-context-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-webmvc-portlet-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jackson-mapper-asl-1.9.13.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-instrument-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,808 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/druid-1.0.17.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/mybatis-spring-1.3.1.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/jackson-core-asl-1.9.13.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-security-web-4.0.3.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-orm-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/juel-impl-2.2.7.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/spring-messaging-4.3.12.RELEASE.jar] from /WEB-INF/lib
2018-01-26 12:06:12,809 |ocalhost-startStop-2 |StandardJarScanner            |F| Scanning JAR [/WEB-INF/lib/activation-1.1.jar] from /WEB-INF/lib
