2018-03-07 16:30:57,783 |main                 |ContainerBase                 |F| Add child StandardHost[localhost] StandardEngine[Catalina]
2018-03-07 16:30:57,784 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZING]
2018-03-07 16:30:57,898 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZING]
2018-03-07 16:30:57,901 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@1c9b0314] to [INITIALIZED]
2018-03-07 16:30:57,938 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZING]
2018-03-07 16:30:57,940 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZING]
2018-03-07 16:30:57,944 |main                 |LifecycleBase                 |F| Setting state for [StandardEngine[Catalina]] to [INITIALIZED]
2018-03-07 16:30:57,944 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZING]
2018-03-07 16:30:57,945 |main                 |LifecycleBase                 |F| Setting state for [org.apache.catalina.mapper.MapperListener@95e33cc] to [INITIALIZED]
2018-03-07 16:30:57,946 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [INITIALIZING]
2018-03-07 17:46:37,766 |main                 |LifecycleBase                 |F| Setting state for [Connector[HTTP/1.1-8080]] to [FAILED]
2018-03-07 17:46:37,767 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [INITIALIZING]
2018-03-07 17:46:37,771 |main                 |LifecycleBase                 |F| Setting state for [Connector[AJP/1.3-8009]] to [FAILED]
2018-03-07 17:46:37,772 |main                 |LifecycleBase                 |F| Setting state for [StandardService[Catalina]] to [INITIALIZED]
2018-03-07 17:46:37,772 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [INITIALIZED]
2018-03-07 17:46:37,773 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING_PREP]
2018-03-07 17:46:37,780 |main                 |NamingContextListener         |F| Bound StandardServer[8005]
2018-03-07 17:46:37,786 |main                 |LifecycleBase                 |F| Setting state for [StandardServer[8005]] to [STARTING]
